ID,DATE,MANUFACTURER,S15,EQUIPMENT_FAILURE
100002,5/10/15,R,11.1744,0
100002,5/11/15,R,19.9584,0
100002,5/12/15,R,26.88,0
100002,5/13/15,R,20.88,0
100002,5/14/15,R,20.64,0
100002,5/15/15,R,17.471172,0
100002,5/16/15,R,22.32,0
100002,5/17/15,R,26.4,0
100002,5/18/15,R,19.44,0
100002,5/19/15,R,26.88,0
100002,5/20/15,R,23.76,0
100002,5/21/15,R,18.24,0
100002,5/22/15,R,20.64,0
100002,5/23/15,R,22.0968,0
100002,5/24/15,R,19.6416,0
100002,5/25/15,R,13.56,0
100002,5/26/15,R,10.8864,0
100002,5/27/15,R,17.1336,0
100002,5/28/15,R,17.9928,0
100002,5/29/15,R,16.3944,0
100002,5/30/15,R,14.22,0
100002,5/31/15,R,26.7,0
100002,6/1/15,R,19.1952,0
100002,6/2/15,R,28.6944,0
100002,6/3/15,R,16.56,0
100002,6/4/15,R,22.5792,0
100002,6/5/15,R,19.92,0
100002,6/6/15,R,24.72,0
100002,6/7/15,R,29.28,0
100002,6/8/15,R,20.16,0
100002,6/9/15,R,25.68,0
100002,6/10/15,R,22.32,0
100002,6/11/15,R,19.2,0
100002,6/12/15,R,22.32,0
100002,6/13/15,R,23.28,0
100002,6/14/15,R,28.56,0
100002,6/15/15,R,29.04,0
100002,6/16/15,R,19.68,0
100002,6/17/15,R,26.16,0
100002,6/18/15,R,19.2,0
100002,6/19/15,R,21.36,0
100002,6/20/15,R,22.7592,0
100002,6/21/15,R,28.56,0
100002,6/22/15,R,26.4,0
100002,6/23/15,R,26.16,0
100002,6/24/15,R,18.24,0
100002,6/25/15,R,25.92,0
100002,6/26/15,R,25.44,0
100002,6/27/15,R,27.84,0
100002,6/28/15,R,21.36,0
100002,6/29/15,R,26.88,0
100002,6/30/15,R,28.32,0
100002,7/1/15,R,26.16,0
100002,7/2/15,R,20.4,0
100002,7/3/15,R,28.56,0
100002,7/4/15,R,18,0
100002,7/5/15,R,26.88,0
100002,7/6/15,R,23.04,0
100002,7/7/15,R,20.16,0
100002,7/8/15,R,24.96,0
100002,7/9/15,R,21.84,0
100002,7/10/15,R,22.08,0
100002,7/11/15,R,21.12,0
100002,7/12/15,R,25.68,0
100002,7/13/15,R,20.16,0
100002,7/14/15,R,19.2,0
100002,7/15/15,R,22.8,0
100002,7/16/15,R,19.2,0
100002,7/17/15,R,21.12,0
100002,7/18/15,R,22.8,0
100002,7/19/15,R,26.64,0
100002,7/20/15,R,24.24,0
100002,7/21/15,R,22.32,0
100002,7/22/15,R,21.12,0
100002,7/23/15,R,21.6,0
100002,7/24/15,R,18.96,0
100002,7/25/15,R,26.16,0
100002,7/26/15,R,21.36,0
100002,7/27/15,R,28.56,0
100002,7/28/15,R,28.56,0
100002,7/29/15,R,22.8,0
100002,7/30/15,R,29.04,0
100002,7/31/15,R,26.64,0
100002,8/1/15,R,18.48,0
100002,8/2/15,R,24.96,0
100002,8/3/15,R,28.08,0
100002,8/4/15,R,24.96,0
100002,8/5/15,R,22.8,0
100002,8/6/15,R,22.56,0
100002,8/7/15,R,22.08,0
100002,8/8/15,R,23.04,0
100002,8/9/15,R,25.5936,0
100002,8/10/15,R,18.72,0
100002,8/11/15,R,29.28,0
